Casilla;X;Y;Access Point;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99
4;70;190;AP1;-60;-60;-60;-61;-60;-61;-61;-57;-61;-60;-60;-60;-60;-63;-63;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-62;-62;-59;-59;-60;-59;-56;-56;-56;-56;-60;-60;-60;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-60;-60;-60;-61;-59;-59;-59;-55;-55;-59;-59;-59;-59;-59;-59;-60;-60;-60;-61;-61;-61;-61;-56;-56;-60;-60;-60;-59;-61;-61;-59;-60;-58;-58;-58;-58;-58;-58;-60;-60;-60;-59;-60;-60;-60;-60;-60;-59;-58
4;70;190;AP2;-64;-64;-66;-66;-66;-64;-67;-67;-65;-65;-66;-66;-64;-64;-64;-64;-63;-63;-63;-63;-65;-65;-65;-65;-65;-65;-64;-64;-65;-65;-66;-66;-66;-66;-66;-53;-53;-65;-65;-65;-68;-68;-68;-67;-66;-66;-68;-67;-67;-67;-66;-66;-66;-66;-66;-65;-66;-66;-66;-66;-67;-66;-66;-66;-66;-66;-66;-66;-66;-68;-68;-67;-67;-66;-66;-66;-66;-66;-66;-66;-66;-66;-65;-65;-64;-64;-65;-65;-67;-65;-65;-65;-66;-66;-66;-66;-65;-65;-65;-66
5;90;190;AP0;-45;-46;-45;-45;-48;-48;-49;-49;-49;-49;-49;-45;-46;-46;-46;-45;-45;-45;-45;-45;-45;-45;-45;-48;-46;-46;-46;-46;-46;-45;-46;-46;-45;-46;-46;-46;-47;-47;-46;-46;-46;-46;-45;-45;-47;-47;-45;-45;-45;-45;-45;-48;-48;-49;-48;-49;-49;-48;-48;-48;-46;-46;-45;-45;-47;-47;-46;-46;-48;-45;-45;-45;-45;-45;-46;-46;-46;-46;-46;-46;-46;-45;-45;-45;-46;-46;-46;-46;-46;-46;-46;-46;-45;-45;-45;-45;-46;-46;-46;-45
5;90;190;AP1;-56;-57;-57;-57;-58;-58;-58;-58;-58;-56;-56;-58;-56;-56;-55;-56;-56;-54;-54;-56;-56;-56;-56;-56;-56;-57;-57;-57;-57;-57;-57;-58;-57;-57;-57;-57;-57;-58;-57;-58;-56;-57;-57;-57;-58;-57;-58;-58;-57;-57;-58;-59;-59;-60;-60;-60;-60;-59;-60;-61;-61;-58;-57;-57;-57;-57;-57;-57;-57;-58;-56;-56;-58;-57;-57;-57;-57;-57;-57;-57;-58;-58;-57;-58;-57;-57;-57;-57;-56;-56;-57;-57;-58;-58;-57;-57;-56;-56;-56;-56
5;90;190;AP2;-62;-62;-63;-63;-64;-65;-65;-65;-65;-63;-63;-63;-63;-62;-62;-62;-62;-62;-62;-62;-62;-60;-65;-65;-61;-63;-63;-63;-61;-63;-61;-61;-61;-61;-61;-61;-62;-62;-63;-63;-64;-65;-65;-62;-62;-63;-63;-63;-63;-62;-62;-65;-65;-65;-64;-66;-64;-64;-64;-64;-63;-63;-62;-62;-62;-62;-62;-63;-63;-63;-63;-63;-63;-62;-63;-63;-62;-62;-62;-62;-62;-64;-62;-62;-62;-61;-63;-63;-63;-62;-63;-63;-64;-63;-63;-62;-62;-62;-62;-63
6;110;190;AP0;-38;-38;-37;-38;-37;-37;-37;-39;-37;-37;-39;-39;-39;-40;-37;-38;-38;-39;-39;-39;-39;-39;-37;-37;-38;-37;-38;-37;-37;-37;-38;-36;-36;-38;-38;-38;-38;-38;-37;-37;-37;-37;-38;-38;-39;-41;-39;-39;-38;-37;-38;-38;-38;-38;-38;-38;-38;-37;-38;-38;-36;-36;-38;-40;-41;-41;-40;-39;-39;-39;-37;-37;-41;-41;-40;-40;-40;-39;-39;-38;-38;-38;-38;-37;-40;-40;-39;-37;-39;-39;-38;-38;-38;-38;-37;-37;-37;-37;-38;-38
6;110;190;AP1;-67;-66;-66;-70;-70;-70;-70;-67;-67;-67;-69;-69;-69;-69;-69;-69;-69;-68;-68;-68;-68;-69;-69;-69;-71;-71;-71;-71;-71;-71;-70;-70;-69;-70;-70;-70;-70;-70;-70;-68;-68;-68;-68;-69;-68;-68;-70;-70;-70;-70;-71;-71;-71;-69;-69;-69;-69;-69;-69;-69;-69;-69;-69;-73;-73;-73;-72;-72;-72;-72;-72;-70;-70;-70;-70;-70;-70;-70;-71;-71;-71;-71;-71;-71;-68;-68;-68;-70;-70;-70;-70;-70;-70;-70;-69;-69;-69;-69;-69;-69
6;110;190;AP2;-70;-70;-70;-71;-73;-73;-70;-72;-71;-71;-71;-71;-71;-71;-70;-73;-73;-73;-73;-74;-74;-74;-74;-71;-71;-71;-71;-72;-72;-73;-73;-73;-73;-74;-74;-74;-74;-74;-72;-72;-73;-73;-73;-73;-73;-74;-72;-72;-72;-75;-75;-73;-73;-73;-73;-71;-70;-70;-74;-74;-71;-71;-72;-75;-76;-76;-73;-73;-76;-76;-72;-72;-72;-74;-74;-74;-74;-73;-73;-73;-73;-73;-73;-73;-73;-73;-74;-74;-74;-74;-74;-74;-74;-74;-74;-74;-72;-72;-72;-76
7;130;190;AP0;-30;-30;-31;-31;-29;-29;-30;-30;-30;-30;-30;-29;-29;-31;-31;-30;-30;-30;-30;-31;-31;-31;-29;-30;-29;-30;-30;-30;-30;-30;-33;-33;-29;-29;-30;-30;-30;-30;-30;-30;-29;-30;-30;-30;-30;-30;-30;-30;-30;-29;-29;-31;-31;-30;-30;-30;-30;-31;-31;-29;-30;-30;-30;-29;-29;-29;-29;-31;-29;-31;-31;-29;-29;-34;-34;-34;-32;-28;-28;-29;-29;-29;-28;-30;-31;-31;-27;-29;-29;-31;-31;-28;-28;-30;-29;-30;-30;-30;-31;-31
7;130;190;AP1;-56;-56;-56;-56;-58;-58;-58;-58;-58;-58;-57;-57;-57;-57;-57;-58;-58;-58;-58;-58;-58;-58;-58;-57;-57;-57;-57;-57;-58;-57;-57;-57;-57;-57;-58;-58;-59;-59;-59;-59;-55;-55;-55;-57;-56;-56;-56;-57;-58;-58;-58;-58;-57;-57;-57;-57;-60;-60;-60;-57;-57;-57;-58;-58;-57;-57;-57;-57;-57;-59;-59;-58;-59;-61;-61;-62;-62;-58;-58;-57;-57;-57;-57;-56;-56;-57;-56;-56;-56;-56;-56;-57;-56;-56;-58;-56;-56;-60;-60;-60
7;130;190;AP2;-59;-59;-60;-59;-59;-59;-59;-61;-61;-59;-59;-59;-59;-59;-59;-59;-59;-60;-60;-61;-59;-59;-61;-61;-61;-59;-59;-58;-59;-59;-59;-59;-60;-60;-60;-60;-60;-59;-59;-59;-60;-59;-59;-60;-60;-60;-60;-59;-59;-59;-60;-60;-60;-61;-61;-60;-60;-59;-59;-61;-60;-60;-60;-61;-61;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-60;-63;-63;-59;-59;-59;-59;-59;-59;-59;-59;-59;-60;-60;-59;-60;-58;-58;-58;-58;-58;-61;-61;-61;-61
8;150;190;AP0;-36;-37;-37;-37;-37;-38;-36;-37;-37;-36;-37;-40;-40;-40;-40;-40;-40;-40;-36;-36;-35;-36;-36;-36;-36;-35;-36;-36;-35;-36;-35;-35;-35;-36;-36;-35;-35;-35;-35;-36;-35;-41;-41;-35;-37;-36;-36;-36;-35;-35;-35;-35;-36;-36;-36;-36;-37;-35;-34;-34;-35;-35;-37;-35;-35;-35;-35;-36;-36;-36;-36;-36;-36;-35;-35;-35;-35;-36;-34;-35;-35;-35;-35;-36;-36;-36;-36;-36;-36;-38;-38;-38;-38;-38;-38;-38;-38;-38;-38;-39
8;150;190;AP1;-64;-64;-60;-62;-62;-62;-63;-64;-64;-64;-64;-66;-66;-64;-65;-65;-65;-61;-60;-57;-60;-60;-60;-62;-64;-62;-62;-62;-63;-63;-63;-63;-62;-62;-62;-62;-62;-62;-62;-62;-63;-63;-63;-63;-63;-61;-61;-61;-62;-62;-64;-64;-62;-62;-64;-64;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-62;-61;-61;-60;-60;-60;-60;-63;-63;-63;-63;-62;-62;-62;-62;-64;-64;-64;-64;-63;-63;-66;-66;-66;-65;-65;-65;-65;-66;-66;-66;-66
8;150;190;AP2;-63;-63;-63;-61;-62;-62;-62;-63;-62;-62;-64;-64;-67;-67;-65;-65;-65;-65;-62;-62;-62;-63;-61;-61;-61;-61;-61;-61;-61;-62;-61;-62;-62;-61;-61;-62;-62;-63;-61;-61;-61;-62;-62;-62;-63;-63;-62;-62;-61;-61;-63;-63;-61;-62;-62;-62;-62;-62;-62;-63;-63;-62;-62;-62;-62;-63;-62;-63;-63;-62;-60;-62;-62;-62;-62;-62;-62;-62;-61;-61;-62;-62;-61;-61;-62;-62;-63;-63;-62;-62;-62;-64;-64;-65;-65;-65;-65;-65;-65;-56
9;170;190;AP0;-41;-41;-41;-41;-41;-41;-41;-41;-41;-41;-41;-41;-41;-43;-43;-44;-44;-44;-44;-41;-41;-44;-44;-40;-40;-41;-43;-43;-43;-41;-42;-42;-42;-42;-41;-41;-41;-41;-41;-41;-41;-41;-40;-41;-41;-44;-44;-44;-44;-44;-43;-43;-44;-44;-44;-43;-40;-40;-41;-41;-41;-41;-41;-40;-40;-41;-41;-41;-41;-41;-42;-40;-40;-40;-43;-43;-42;-42;-42;-42;-42;-42;-41;-40;-40;-42;-42;-42;-40;-41;-41;-41;-42;-42;-41;-41;-41;-41;-41;-41
9;170;190;AP1;-57;-57;-58;-58;-57;-57;-58;-56;-56;-56;-57;-57;-59;-59;-60;-60;-60;-60;-60;-60;-60;-57;-57;-57;-57;-57;-57;-57;-58;-57;-57;-58;-56;-56;-56;-56;-57;-56;-59;-59;-58;-58;-56;-56;-58;-59;-59;-59;-59;-59;-59;-60;-59;-59;-59;-59;-57;-57;-56;-56;-59;-59;-59;-57;-57;-57;-57;-57;-57;-57;-57;-57;-57;-50;-57;-57;-56;-56;-56;-56;-56;-58;-58;-58;-57;-58;-56;-56;-56;-56;-56;-57;-57;-57;-57;-57;-57;-57;-57;-57
9;170;190;AP2;-61;-61;-60;-60;-60;-62;-248;-60;-60;-62;-62;-60;-60;-63;-63;-63;-63;-65;-55;-60;-60;-60;-61;-61;-62;-62;-63;-63;-62;-62;-62;-62;-62;-60;-55;-61;-61;-61;-61;-61;-61;-62;-62;-62;-62;-64;-64;-64;-64;-64;-65;-65;-64;-64;-64;-64;-64;-60;-60;-61;-61;-61;-61;-63;-62;-62;-62;-62;-59;-59;-60;-60;-60;-60;-62;-60;-58;-60;-60;-54;-54;-60;-60;-61;-61;-62;-62;-62;-61;-61;-60;-60;-60;-62;-62;-61;-61;-60;-60;-62
10;190;190;AP0;-48;-48;-48;-48;-48;-53;-53;-48;-48;-48;-48;-48;-47;-47;-49;-49;-48;-48;-50;-50;-48;-48;-48;-48;-48;-48;-48;-48;-48;-51;-51;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-47;-47;-47;-48;-48;-48;-48;-47;-47;-47;-48;-49;-49;-49;-48;-48;-48;-48;-52;-49;-50;-50;-48;-48;-49;-49;-49;-49;-49;-49;-47;-47;-51;-51;-52;-52;-47;-48;-48;-48;-51;-47;-47;-47;-47;-47;-47;-48;-48;-48
