Casilla;X;Y;Access Point;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99
43;50;150;AP2;-67;-67;-68;-68;-65;-67;-65;-65;-65;-65;-65;-65;-66;-66;-4,12;-65;-68;-68;-66;-66;-66;-66;-66;-66;-66;-66;-64;-64;-66;-66;-65;-65;-66;-63;-63;-66;-66;-65;-65;-64;-64;-64;-66;-64;-64;-66;-65;-65;-65;-65;-64;-64;-66;-66;-68;-68;-65;-65;-65;-67;-67;-67;-67;-66;-66;-65;-65;-65;-65;-64;-64;-65;-65;-64;-67;-67;-67;-67;-67;-67;-65;-65;-65;-65;-65;-65;-65;-65;-16,25;-65;-66;-66;-66;-66;-66;-65;-65;-66;-65;-65
44;70;150;AP0;-53;-53;-53;-54;-54;-57;-57;-53;-53;-53;-55;-55;-54;-54;-54;-54;-54;-54;-54;-53;-53;-53;-53;-53;-53;-53;-55;-55;-56;-56;-53;-53;-53;-53;-53;-54;-54;-52;-52;-54;-54;-53;-54;-53;-53;-54;-54;-54;-53;-53;-53;-53;-53;-53;-52;-52;-52;-54;-52;-53;-52;-52;-53;-53;-53;-52;-53;-53;-53;-53;-53;-53;-53;-56;-54;-53;-53;-53;-53;-52;-52;-53;-53;-53;-53;-53;-53;-53;-52;-52;-53;-53;-53;-53;-53;-52;-52;-52;-52;-52
44;70;150;AP1;-59;-59;-59;-60;-61;-60;-60;-59;-59;-59;-59;-59;-59;-59;-60;-60;-59;-59;-59;-60;-60;-61;-58;-58;-58;-60;-60;-60;-61;-61;-61;-61;-58;-58;-58;-58;-58;-58;-60;-58;-58;-58;-59;-59;-59;-60;-60;-59;-59;-59;-59;-61;-61;-60;-60;-60;-59;-60;-59;-59;-59;-59;-59;-60;-56;-56;-59;-59;-60;-60;-59;-59;-61;-62;-58;-58;-58;-59;-58;-58;-60;-59;-59;-60;-59;-60;-60;-59;-60;-60;-59;-59;-61;-60;-58;-58;-58;-59;-59;-59
44;70;150;AP2;-59;-60;-60;-60;-58;-58;-59;-59;-59;-59;-61;-61;-61;-59;-60;-60;-60;-59;-60;-59;-59;-59;-61;-61;-59;-59;-59;-61;-62;-59;-59;-60;-58;-59;-59;-60;-59;-59;-59;-59;-60;-60;-60;-60;-58;-59;-60;-60;-58;-58;-60;-60;-60;-58;-61;-61;-61;-59;-59;-60;-59;-60;-60;-59;-59;-60;-59;-60;-60;-59;-59;-60;-60;-61;-61;-60;-60;-60;-60;-62;-61;-61;-60;-60;-59;-59;-60;-60;-59;-59;-59;-59;-62;-59;-59;-59;-59;-60;-60;-59
45;90;150;AP0;-50;-50;-48;-48;-48;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-50;-48;-48;-48;-48;-48;-48;-49;-47;-48;-48;-48;-48;-48;-48;-48;-49;-49;-48;-49;-48;-48;-48;-48;-48;-48;-48;-49;-49;-48;-49;-48;-48;-48;-48;-49;-49;-49;-48;-48;-49;-49;-49;-49;-48;-48;-48;-48;-48;-48;-49;-50;-47;-48;-48;-48;-48;-49;-49;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-49;-48;-48;-48;-48;-48;-48;-49;-49;-48;-48;-48;-48;-48;-48
45;90;150;AP1;-57;-57;-56;-56;-56;-55;-55;-55;-55;-57;-55;-55;-55;-57;-57;-57;-56;-56;-58;-57;-57;-56;-56;-55;-55;-56;-57;-55;-55;-55;-56;-56;-56;-56;-56;-56;-56;-57;-58;-56;-56;-55;-57;-57;-56;-56;-57;-57;-57;-56;-56;-56;-56;-56;-56;-56;-56;-55;-55;-55;-55;-56;-56;-55;-55;-55;-55;-54;-54;-55;-55;-55;-55;-55;-55;-56;-56;-58;-58;-56;-56;-56;-56;-56;-56;-56;-55;-55;-56;-56;-55;-55;-55;-56;-58;-58;-58;-55;-55;-55
45;90;150;AP2;-73;-73;-73;-73;-62;-62;-62;-69;-69;-70;-70;-67;-70;-64;-64;-63;-68;-67;-68;-68;-65;-65;-67;-67;-67;-67;-67;-67;-67;-64;-67;-68;-64;-64;-64;-67;-67;-67;-65;-16,25;-65;-63;-67;-67;-67;-65;-65;-66;-66;-62;-62;-66;-66;-63;-63;-63;-64;-64;-67;-65;-65;-67;-67;-67;-66;-66;-64;-64;-68;-68;-69;-69;-69;-68;-67;-67;-67;-67;-67;-67;-68;-68;-66;-66;-66;-66;-66;-67;-67;-67;-67;-68;-68;-69;-69;-69;-69;-69;-69;-67
46;110;150;AP0;-46;-46;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-46;-46;-46;-46;-46;-45;-45;-45;-45;-46;-48;-49;-47;-47;-48;-45;-46;-46;-46;-46;-46;-45;-45;-45;-45;-46;-45;-45;-46;-46;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-47;-50;-50;-48;-48;-48;-47;-48;-48;-47;-48;-48;-49;-48;-48;-48;-48;-48;-48;-48;-48;-48;-48;-47;-47;-47;-47;-49;-48;-48;-49;-48;-48;-48;-48;-48;-48;-47;-48;-48;-45;-45;-45;-45;-45
46;110;150;AP1;-63;-63;-65;-65;-63;-63;-66;-66;-65;-65;-65;-64;-64;-64;-64;-64;-59;-59;-64;-64;-66;-66;-66;-69;-67;-67;-69;-69;-65;-65;-65;-65;-65;-64;-63;-63;-64;-64;-65;-65;-65;-65;-65;-64;-64;-64;-65;-64;-64;-64;-64;-64;-64;-64;-65;-67;-67;-66;-66;-68;-68;-68;-68;-68;-68;-69;-69;-67;-67;-68;-68;-67;-67;-66;-66;-68;-68;-68;-67;-67;-68;-68;-69;-68;-68;-68;-67;-67;-66;-66;-66;-66;-67;-67;-67;-63;-63;-63;-63;-63
46;110;150;AP2;-67;-66;-66;-67;-67;-67;-67;-61;-61;-66;-68;-67;-67;-68;-64;-64;-67;-66;-66;-66;-66;-66;-66;-69;-69;-69;-69;-67;-67;-67;-67;-67;-67;-67;-67;-65;-66;-66;-67;-67;-66;-66;-66;-66;-67;-67;-65;-65;-69;-17,25;-66;-66;-66;-66;-66;-66;-66;-17,75;-69;-69;-69;-69;-69;-69;-69;-68;-68;-69;-69;-69;-69;-69;-68;-70;-70;-69;-69;-70;-70;-69;-69;-68;-68;-68;-68;-69;-68;-68;-68;-68;-68;-68;-68;-68;-67;-67;-66;-64;-63;-63
47;130;150;AP0;-43;-46;-48;-46;-46;-45;-46;-46;-47;-47;-47;-43;-43;-44;-44;-43;-43;-44;-44;-44;-43;-43;-47;-47;-46;-44;-44;-44;-43;-43;-42;-42;-43;-43;-43;-43;-43;-43;-44;-44;-47;-46;-46;-43;-44;-44;-44;-43;-43;-43;-44;-44;-44;-43;-43;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-43;-46;-46;-46;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-44;-43;-43;-43;-43;-43;-43;-44;-44;-45;-44;-43;-43;-43;-43;-43;-43;-44
47;130;150;AP1;-58;-57;-56;-56;-56;-56;-57;-57;-57;-57;-57;-55;-55;-55;-55;-55;-55;-55;-55;-55;-54;-54;-59;-59;-56;-55;-55;-56;-56;-55;-55;-57;-54;-54;-56;-56;-56;-56;-55;-55;-57;-57;-57;-55;-57;-57;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-55;-56;-56;-56;-56;-55;-55;-58;-58;-55;-56;-56;-56;-58;-58;-55;-55;-55;-56;-55;-55;-56;-56;-57;-57;-56;-56;-57;-57;-57;-57;-56;-56;-56;-55;-55;-55
47;130;150;AP2;-77;-76;-76;-73;-73;-69;-69;-69;-69;-72;-72;-73;-73;-74;-74;-70;-70;-70;-72;-72;-71;-71;-74;-74;-74;-74;-74;-74;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-71;-71;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-73;-72;-72;-73;-73;-75;-74;-74;-75;-75;-75;-75;-75;-76;-76;-76;-76;-71;-71;-71;-75;-75;-75;-72;-72;-72;-72;-74;-70;-75;-75;-78;-78;-78;-78;-78;-78;-76;-76;-76;-76;-71;-71;-71;-73;-72;-72;-72;-18;-77
48;150;150;AP0;-47;-47;-47;-47;-47;-47;-47;-47;-47;-47;-48;-47;-47;-47;-47;-47;-47;-48;-48;-48;-48;-47;-47;-47;-47;-47;-47;-47;-46;-48;-47;-47;-47;-46;-47;-47;-48;-48;-44;-44;-45;-45;-45;-45;-45;-45;-45;-44;-44;-44;-45;-44;-45;-45;-45;-45;-45;-45;-45;-45;-46;-46;-48;-48;-48;-48;-48;-48;-48;-48;-48;-47;-47;-47;-48;-45;-46;-46;-46;-45;-45;-45;-45;-45;-46;-46;-46;-46;-46;-49;-48;-48;-47;-46;-47;-47;-46;-46;-46;-45
48;150;150;AP1;-57;-58;-58;-54;-56;-56;-57;-57;-58;-58;-57;-57;-57;-57;-57;-58;-56;-56;-56;-56;-57;-56;-57;-57;-57;-57;-57;-58;-58;-56;-56;-56;-57;-57;-57;-53;-53;-54;-54;-56;-56;-55;-54;-54;-53;-53;-55;-54;-54;-54;-55;-54;-54;-54;-56;-56;-56;-54;-53;-54;-54;-54;-54;-57;-58;-58;-58;-58;-58;-58;-59;-57;-57;-58;-58;-55;-55;-55;-55;-56;-56;-56;-56;-55;-57;-57;-56;-56;-55;-55;-59;-59;-56;-56;-57;-57;-57;-57;-57;-57
48;150;150;AP2;-66;-66;-66;-66;-67;-65;-65;-65;-65;-65;-65;-61;-63;-63;-63;-60;-62;-63;-63;-65;-65;-65;-65;-64;-64;-64;-64;-64;-64;-65;-65;-65;-65;-65;-65;-65;-62;-62;-62;-60;-60;-63;-63;-62;-62;-62;-62;-61;-61;-61;-61;-61;-60;-60;-60;-62;-62;-60;-60;-60;-60;-59;-64;-64;-63;-63;-63;-65;-58;-58;-64;-64;-64;-64;-65;-62;-62;-62;-62;-59;-62;-63;-63;-62;-62;-62;-62;-61;-61;-61;-61;-63;-63;-64;-65;-63;-63;-61;-61;-61
49;170;150;AP0;-51;-51;-52;-51;-51;-51;-51;-50;-50;-51;-51;-51;-51;-51;-51;-51;-51;-51;-52;-52;-51;-51;-51;-51;-51;-51;-51;-51;-51;-51;-50;-50;-54;-52;-52;-52;-52;-52;-53;-53;-53;-51;-51;-51;-53;-52;-52;-52;-52;-52;-52;-52;-52;-52;-51;-51;-51;-51;-52;-52;-52;-52;-51;-51;-52;-52;-52;-52;-52;-51;-51;-53;-51;-51;-51;-51;-50;-51;-51;-52;-52;-52;-52;-51;-51;-51;-52;-52;-51;-51;-51;-51;-51;-51;-51;-51;-52;-52;-54;-54
49;170;150;AP1;-66;-66;-62;-62;-62;-66;-66;-67;-67;-67;-67;-67;-67;-64;-64;-64;-64;-61;-61;-65;-65;-65;-70;-67;-67;-67;-67;-67;-62;-62;-62;-62;-62;-62;-67;-67;-60;-60;-66;-66;-66;-67;-67;-67;-67;-64;-64;-64;-64;-66;-66;-66;-66;-66;-66;-64;-64;-64;-66;-66;-61;-61;-61;-61;-61;-64;-66;-66;-66;-67;-66;-66;-65;-66;-66;-66;-67;-66;-66;-63;-63;-63;-63;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64
49;170;150;AP2;-65;-65;-65;-64;-63;-62;-62;-62;-65;-65;-65;-65;-63;-63;-62;-62;-61;-61;-61;-61;-61;-61;-61;-61;-63;-61;-63;-61;-61;-62;-63;-63;-63;-63;-63;-62;-62;-62;-63;-63;-63;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-64;-66;-63;-65;-65;-65;-65;-63;-63;-63;-59;-64;-65;-65;-64;-64;-64;-64;-65;-65;-64;-64;-64;-64;-64;-64;-65;-65;-65;-64;-64;-63;-67;-64;-64;-63;-63;-61;-61;-61;-62;-65;-65;-65;-62;-62;-60;-60;-65
50;190;150;AP0;-55;-56;-56;-55;-55;-56;-56;-56;-56;-58;-58;-57;-57;-56;-56;-57;-57;-57;-57;-57;-57;-57;-57;-55;-55;-58;-56;-56;-56;-56;-58;-58;-57;-57;-57;-55;-55;-55;-56;-56;-55;-55;-56;-56;-56;-56;-57;-57;-56;-57;-57;-57;-57;-56;-56;-57;-57;-55;-55;-55;-55;-55;-55;-57;-56;-58;-56;-56;-56;-57;-57;-57;-56;-56;-56;-56;-57;-57;-57;-57;-56;-57;-57;-55;-55;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56
50;190;150;AP1;-56;-56;-55;-55;-57;-55;-56;-56;-56;-56;-56;-55;-55;-55;-55;-55;-55;-56;-56;-54;-54;-56;-56;-55;-55;-55;-55;-56;-56;-56;-56;-58;-57;-55;-55;-55;-55;-55;-55;-56;-55;-55;-56;-56;-55;-55;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-55;-55;-55;-56;-56;-55;-55;-56;-55;-56;-56;-56;-56;-57;-57;-57;-58;-56;-55;-55;-56;-56;-57;-57;-57;-57;-56;-56;-55;-55;-55;-56;-56;-57;-57;-54;-55;-55;-55;-56;-56;-56;-56;-56
50;190;150;AP2;-62;-62;-62;-66;-66;-64;-67;-64;-64;-67;-65;-70;-70;-64;-66;-64;-67;-67;-66;-66;-66;-66;-66;-66;-66;-66;-64;-64;-64;-4;-65;-65;-66;-66;-66;-66;-66;-65;-66;-66;-65;-66;-66;-67;-67;-66;-65;-66;-66;-64;-64;-67;-67;-65;-65;-65;-62;-68;-66;-67;-67;-67;-67;-67;-69;-69;-67;-67;-65;-65;-65;-67;-67;-67;-67;-66;-66;-69;-69;-67;-16,75;-66;-66;-66;-66;-66;-66;-67;-67;-67;-66;-66;-67;-68;-68;-66;-66;-66;-67;-66
51;210;150;AP0;-57;-57;-57;-57;-57;-57;-57;-56;-56;-58;-58;-56;-56;-57;-57;-57;-57;-56;-56;-56;-57;-58;-57;-57;-56;-56;-56;-56;-57;-57;-57;-57;-57;-57;-57;-56;-56;-56;-56;-57;-57;-57;-57;-56;-57;-57;-58;-58;-57;-57;-57;-56;-56;-56;-56;-57;-57;-55;-55;-55;-57;-56;-58;-58;-57;-57;-55;-55;-58;-58;-56;-56;-55;-55;-56;-56;-57;-57;-55;-57;-57;-58;-57;-57;-56;-56;-56;-57;-56;-57;-57;-55;-58;-57;-57;-56;-57;-56;-56;-56
51;210;150;AP1;-55;-55;-55;-55;-55;-55;-54;-54;-56;-56;-56;-56;-56;-57;-57;-56;-56;-55;-55;-56;-56;-56;-56;-56;-56;-56;-56;-56;-56;-57;-58;-58;-58;-58;-56;-55;-55;-55;-55;-55;-55;-56;-56;-57;-57;-57;-55;-55;-55;-57;-56;-56;-56;-56;-56;-55;-55;-56;-56;-55;-56;-56;-56;-56;-56;-56;-56;-55;-55;-55;-56;-56;-55;-58;-58;-58;-56;-56;-56;-55;-55;-56;-56;-55;-56;-56;-56;-56;-56;-56;-56;-56;-58;-58;-58;-58;-56;-56;-56;-55
51;210;150;AP2;-62;-62;-62;-63;-63;-62;-62;-61;-61;-61;-61;-61;-61;-63;-60;-60;-63;-63;-62;-62;-62;-62;-62;-62;-62;-63;-63;-64;-64;-63;-62;-63;-63;-62;-62;-63;-63;-63;-64;-64;-62;-61;-64;-64;-64;-64;-63;-62;-62;-64;-64;-64;-63;-64;-64;-63;-63;-63;-60;-60;-63;-62;-63;-63;-62;-62;-63;-62;-62;-62;-62;-63;-62;-62;-63;-62;-64;-63;-63;-62;-62;-62;-62;-62;-62;-61;-61;-63;-63;-62;-62;-62;-62;-62;-62;-64;-64;-63;-63;-63
52;230;150;AP0;-55;-54;-55;-54;-55;-55;-55;-55;-56;-56;-55;-55;-54;-54;-55;-55;-54;-54;-55;-55;-54;-54;-54;-54;-55;-55;-55;-56;-55;-55;-55;-55;-54;-54;-55;-55;-54;-54;-56;-55;-56;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-54;-54;-55;-55;-55;-55;-55;-55;-54;-54;-55;-55;-55;-56;-55;-55;-55;-55;-56;-56;-55;-55;-55;-55;-56;-54;-54;-54;-54;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-56;-56;-55;-55;-54;-55;-55;-55;-54
52;230;150;AP1;-51;-50;-50;-49;-49;-49;-49;-50;-52;-52;-49;-51;-50;-50;-49;-49;-49;-49;-50;-50;-50;-49;-50;-50;-50;-49;-50;-51;-51;-51;-49;-50;-49;-49;-49;-49;-49;-49;-50;-49;-50;-50;-50;-50;-50;-49;-49;-49;-49;-49;-50;-50;-50;-49;-49;-49;-49;-49;-49;-49;-49;-49;-51;-51;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-49;-50;-52;-49;-49;-49;-49;-51;-51;-49;-49;-49;-49;-49;-49;-50;-50;-48;-48;-49;-49;-49;-49;-50;-50;-50
52;230;150;AP2;-66;-66;-62;-62;-62;-62;-63;-63;-65;-65;-65;-64;-64;-64;-63;-63;-63;-15,75;-63;-63;-63;-63;-63;-60;-64;-64;-64;-63;-63;-63;-64;-64;-64;-64;-65;-65;-65;-66;-66;-65;-65;-63;-63;-64;-64;-64;-64;-64;-64;-64;-63;-63;-61;-61;-64;-64;-64;-64;-63;-63;-63;-64;-64;-64;-64;-64;-65;-65;-65;-58;-65;-65;-65;-65;-65;-65;-65;-63;-64;-64;-64;-65;-64;-64;-64;-64;-64;-64;-64;-65;-65;-65;-64;-65;-65;-65;-65;-65;-65;-65
53;250;150;AP0;-70;-70;-70;-70;-68;-68;-68;-68;-68;-68;-68;-68;-55;-55;-55;-72;-72;-72;-69;-69;-69;-69;-69;-69;-68;-68;-69;-69;-68;-68;-67;-67;-68;-68;-68;-68;-72;-72;-68;-69;-69;-68;-68;-68;-68;-68;-68;-66;-66;-69;-67;-68;-68;-67;-67;-67;-70;-68;-68;-68;-69;-68;-68;-69;-69;-69;-68;-68;-68;-68;-68;-63;-63;-63;-63;-69;-69;-70;-70;-70;-67;-67;-67;-67;-68;-69;-69;-69;-69;-69;-68;-68;-69;-69;-69;-69;-69;-69;-69;-69
53;250;150;AP1;-47;-47;-46;-46;-45;-45;-47;-47;-48;-48;-48;-47;-50;-50;-50;-50;-45;-47;-46;-46;-47;-46;-47;-48;-47;-47;-47;-47;-47;-49;-47;-47;-47;-45;-47;-47;-50;-50;-47;-47;-45;-47;-47;-47;-47;-48;-47;-44;-44;-47;-47;-46;-48;-48;-45;-45;-47;-47;-47;-47;-47;-48;-48;-48;-47;-48;-48;-48;-48;-46;-46;-47;-47;-48;-48;-48;-48;-47;-46;-46;-46;-46;-47;-47;-47;-47;-46;-48;-46;-46;-46;-47;-45;-45;-45;-45;-45;-45;-46;-46
53;250;150;AP2;-62;-57;-57;-60;-60;-59;-59;-61;-61;-60;-60;-62;-62;-63;-63;-60;-60;-59;-59;-59;-59;-60;-60;-60;-60;-60;-60;-60;-59;-59;-60;-60;-60;-60;-60;-63;-62;-62;-59;-58;-58;-59;-59;-60;-60;-60;-60;-58;-58;-59;-59;-59;-59;-60;-60;-60;-60;-60;-59;-60;-60;-60;-59;-58;-58;-59;-59;-60;-59;-59;-59;-61;-59;-59;-59;-59;-59;-59;-60;-60;-59;-59;-60;-59;-59;-59;-58;-59;-60;-59;-14,75;-58;-58;-58;-58;-59;-60;-60;-60;-60
54;270;150;AP0;-57;-54;-56;-56;-57;-57;-58;-58;-58;-58;-60;-60;-57;-57;-58;-56;-57;-57;-58;-58;-57;-57;-57;-57;-57;-58;-57;-57;-56;-57;-55;-55;-55;-57;-57;-58;-58;-58;-57;-57;-57;-56;-56;-57;-57;-58;-57;-57;-57;-56;-56;-56;-57;-57;-57;-61;-57;-57;-58;-58;-58;-57;-57;-57;-57;-56;-60;-58;-58;-60;-57;-57;-57;-57;-58;-58;-57;-57;-56;-56;-57;-57;-57;-57;-58;-58;-57;-57;-57;-57;-56;-57;-57;-58;-57;-57;-57;-57;-58;-58
54;270;150;AP1;-46;-46;-46;-47;-47;-46;-46;-46;-47;-48;-46;-46;-47;-45;-47;-47;-47;-47;-48;-47;-46;-46;-46;-46;-48;-47;-47;-47;-46;-46;-47;-47;-47;-47;-47;-47;-47;-46;-47;-47;-47;-46;-46;-47;-47;-45;-47;-47;-47;-47;-47;-47;-45;-45;-47;-48;-48;-48;-48;-48;-48;-44;-47;-47;-47;-47;-46;-46;-46;-49;-49;-49;-49;-48;-48;-47;-45;-45;-47;-47;-47;-47;-47;-47;-44;-44;-47;-47;-47;-47;-49;-49;-44;-44;-47;-47;-47;-47;-47;-47
54;270;150;AP2;-60;-60;-60;-59;-60;-60;-64;-60;-61;-61;-61;-63;-61;-62;-62;-62;-61;-61;-61;-61;-61;-62;-57;-61;-61;-61;-63;-62;-62;-62;-60;-61;-61;-61;-62;-62;-62;-62;-62;-61;-61;-61;-61;-61;-60;-60;-62;-62;-62;-61;-61;-60;-60;-63;-63;-65;-59;-59;-59;-62;-62;-61;-60;-62;-62;-62;-62;-63;-63;-63;-62;-62;-62;-62;-62;-62;-62;-62;-62;-63;-63;-63;-61;-62;-62;-61;-61;-61;-61;-62;-62;-62;-62;-62;-62;-62;-61;-61;-61;-61
55;290;150;AP0;-68;-68;-69;-69;-69;-69;-67;-68;-68;-68;-67;-67;-67;-67;-67;-67;-67;-67;-68;-68;-68;-68;-68;-56;-65;-66;-67;-67;-68;-67;-67;-67;-67;-67;-67;-68;-68;-67;-66;-66;-65;-65;-65;-65;-69;-69;-69;-66;-66;-68;-68;-69;-69;-69;-69;-69;-69;-72;-71;-71;-70;-70;-70;-70;-67;-67;-69;-69;-67;-68;-66;-68;-68;-69;-69;-69;-69;-67;-67;-67;-69;-69;-67;-69;-66;-66;-66;-66;-68;-68;-69;-67;-67;-67;-70;-70;-70;-68;-67;-67
55;290;150;AP1;-48;-49;-47;-46;-46;-46;-46;-46;-46;-46;-46;-45;-46;-46;-46;-46;-46;-46;-47;-47;-47;-47;-46;-46;-46;-47;-47;-47;-47;-49;-49;-46;-46;-49;-49;-49;-49;-49;-49;-49;-50;-50;-49;-49;-52;-52;-48;-47;-49;-47;-49;-49;-49;-50;-48;-52;-52;-52;-49;-52;-49;-49;-49;-49;-49;-49;-49;-49;-46;-48;-49;-47;-51;-49;-47;-48;-48;-46;-47;-47;-47;-47;-47;-47;-47;-50;-47;-46;-49;-49;-47;-47;-47;-47;-49;-47;-47;-46;-49;-49
55;290;150;AP2;-59;-59;-59;-59;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-61;-61;-61;-60;-60;-58;-58;-59;-59;-59;-59;-59;-59;-59;-60;-60;-60;-60;-60;-60;-59;-59;-59;-60;-59;-60;-60;-58;-58;-62;-62;-62;-62;-62;-58;-59;-60;-61;-62;-62;-62;-62;-62;-62;-62;-63;-61;-62;-62;-59;-59;-59;-60;-60;-60;-60;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-59;-60;-60;-60;-60;-59;-59;-59;-59;-59;-59;-59;-60;-59;-61;-59;-59
56;310;150;AP0;-59;-59;-59;-62;-62;-59;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-58;-59;-57;-57;-59;-59;-59;-59;-58;-58;-61;-63;-59;-60;-59;-59;-58;-59;-59;-58;-59;-59;-59;-61;-63;-62;-62;-61;-61;-62;-62;-64;-64;-64;-64;-60;-60;-58;-58;-58;-60;-60;-60;-61;-61;-61;-61;-61;-60;-61;-61;-61;-61;-61;-58;-58;-58;-58;-56;-56;-58;-59;-59;-58;-65;-60;-60;-60;-61;-60;-60;-60;-60;-60;-61;-61;-61;-61;-58;-58;-58;-58;-58
56;310;150;AP1;-52;-52;-51;-56;-55;-51;-52;-50;-52;-52;-52;-51;-51;-51;-51;-54;-54;-52;-51;-51;-51;-51;-52;-52;-52;-52;-52;-52;-52;-50;-52;-52;-51;-52;-51;-51;-51;-53;-53;-52;-52;-54;-54;-54;-55;-55;-53;-53;-53;-57;-54;-54;-54;-54;-50;-50;-52;-52;-53;-53;-53;-52;-52;-52;-54;-54;-54;-52;-52;-53;-53;-53;-51;-51;-50;-52;-52;-52;-52;-52;-51;-53;-52;-52;-53;-52;-54;-54;-54;-54;-54;-53;-53;-53;-53;-52;-52;-51;-51;-50
56;310;150;AP2;-65;-67;-67;-64;-64;-62;-65;-65;-65;-61;-67;-67;-67;-67;-67;-67;-66;-66;-66;-64;-64;-64;-66;-66;-66;-65;-65;-65;-66;-66;-67;-63;-64;-62;-62;-62;-62;-65;-65;-65;-68;-68;-64;-64;-64;-66;-66;-69;-70;-70;-70;-70;-68;-64;-63;-63;-63;-68;-68;-68;-68;-68;-68;-68;-68;-68;-67;-64;-67;-69;-68;-66;-66;-67;-67;-67;-67;-66;-65;-66;-65;-68;-68;-71;-71;-68;-69;-68;-70;-70;-67;-67;-67;-69;-69;-64;-63;-63;-66;-66
57;330;150;AP0;-55;-55;-56;-55;-54;-55;-55;-56;-55;-55;-55;-54;-54;-55;-55;-55;-55;-55;-55;-57;-57;-55;-56;-56;-56;-56;-56;-54;-54;-54;-55;-56;-55;-55;-55;-55;-55;-55;-54;-56;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-54;-55;-54;-55;-55;-55;-54;-55;-56;-56;-55;-56;-56;-59;-59;-57;-57;-57;-58;-57;-55;-55;-55;-54;-57;-56;-56;-56;-56;-55;-56;-56;-57;-58;-57;-58;-55;-55;-55;-56;-55;-55;-54;-54;-55;-54;-54;-53;-56;-56
57;330;150;AP1;-58;-56;-57;-57;-56;-57;-57;-57;-57;-57;-56;-58;-56;-56;-56;-56;-56;-56;-57;-57;-67;-57;-57;-56;-56;-57;-57;-58;-58;-58;-57;-56;-58;-57;-58;-55;-58;-57;-57;-57;-57;-57;-58;-58;-56;-56;-56;-56;-57;-58;-57;-57;-58;-56;-56;-56;-58;-56;-57;-57;-56;-57;-57;-59;-59;-59;-61;-61;-61;-61;-58;-56;-56;-56;-57;-57;-60;-60;-56;-56;-57;-59;-59;-60;-60;-60;-58;-56;-56;-57;-57;-58;-58;-58;-56;-57;-58;-56;-59;-59
57;330;150;AP2;-62;-59;-63;-62;-62;-61;-62;-62;-62;-62;-63;-63;-63;-60;-60;-61;-61;-62;-62;-62;-62;-62;-62;-63;-61;-63;-252;-62;-62;-62;-61;-61;-61;-62;-62;-62;-61;-62;-60;-62;-62;-63;-59;-61;-62;-62;-62;-62;-62;-62;-61;-61;-62;-62;-62;-62;-61;-61;-61;-60;-61;-62;-62;-63;-63;-63;-63;-62;-62;-60;-62;-61;-63;-62;-60;-60;-60;-62;-62;-62;-62;-64;-66;-65;-65;-64;-60;-60;-60;-60;-61;-61;-61;-61;-58;-62;-62;-62;-62;-63
58;350;150;AP0;-61;-58;-58;-57;-59;-57;-59;-59;-59;-59;-58;-58;-58;-58;-58;-57;-59;-59;-61;-61;-61;-61;-61;-61;-59;-59;-59;-60;-58;-58;-59;-61;-61;-60;-61;-61;-58;-58;-63;-62;-62;-62;-62;-59;-59;-57;-58;-59;-59;-58;-58;-58;-58;-57;-57;-57;-57;-57;-57;-58;-58;-56;-56;-57;-57;-57;-58;-58;-59;-57;-60;-60;-63;-59;-59;-58;-58;-60;-58;-58;-57;-58;-58;-56;-57;-57;-60;-60;-59;-60;-60;-60;-61;-61;-60;-61;-60;-60;-60;-60
